t,x,y,z,w,w_pred,v,q
7.4,16.0,0.2940150000000017,0.30000000000000004,1.6,1.6,100.0,0.0
7.41,16.0,0.3640180000000015,0.30000000000000004,1.6,1.6,100.0,0.0
7.42,16.0,0.4340219999999988,0.30000000000000004,1.6,1.6,100.0,0.0
7.43,16.0,0.5040249999999986,0.30000000000000004,1.6,1.6,100.0,0.0
7.44,16.0,0.5740289999999995,0.30000000000000004,1.6,1.6,100.0,0.0
7.45,16.0,0.6440319999999993,0.30000000000000004,1.6,1.6,100.0,0.0
7.46,16.0,0.7140360000000001,0.30000000000000004,1.6,1.6,100.0,0.0
7.47,16.0,0.7840389999999999,0.30000000000000004,1.6,1.6,100.0,0.0
7.48,16.0,0.8540430000000008,0.30000000000000004,1.6,1.6,100.0,0.0
7.49,16.0,0.9240460000000006,0.30000000000000004,1.6,1.6,100.0,0.0
7.5,16.0,0.9940500000000014,0.30000000000000004,1.6,1.6,100.0,0.0
7.51,16.0,1.0640530000000012,0.30000000000000004,1.6,1.6,100.0,0.0
7.52,16.0,1.1340569999999985,0.30000000000000004,1.6,1.6,100.0,0.0
7.53,16.0,1.2040599999999984,0.30000000000000004,1.6,1.6,100.0,0.0
7.54,16.0,1.2740639999999992,0.30000000000000004,1.6,1.6,100.0,0.0
7.55,16.0,1.344066999999999,0.30000000000000004,1.6,1.6,100.0,0.0
7.56,16.0,1.4140709999999999,0.30000000000000004,1.6,1.6,50.0,0.0
7.57,16.0,1.4840739999999997,0.30000000000000004,1.6,1.6,50.0,0.0
7.58,16.0,1.5540780000000005,0.30000000000000004,1.6,1.6,50.0,0.0
7.59,16.0,1.6240810000000003,0.30000000000000004,1.6,1.6,50.0,0.0
7.6,16.0,1.6940850000000012,0.30000000000000004,1.6,1.6,50.0,0.0
7.61,16.0,1.764088000000001,0.30000000000000004,1.6,1.6,50.0,0.0
7.62,16.0,1.8340919999999983,0.30000000000000004,1.6,1.6,50.0,0.0
7.63,16.0,1.9040950000000016,0.30000000000000004,1.6,1.6,50.0,0.0
7.64,16.0,1.974098999999999,0.30000000000000004,1.6,1.6,50.0,0.0
7.65,16.0,2.0441019999999988,0.30000000000000004,1.6,1.6,50.0,0.0
7.66,16.0,2.1141059999999996,0.30000000000000004,1.6,1.6,50.0,0.0
7.67,16.0,2.1841089999999994,0.30000000000000004,1.6,1.6,50.0,0.0
7.68,16.0,2.2541130000000003,0.30000000000000004,1.6,1.6,50.0,0.0
7.69,16.0,2.324116,0.30000000000000004,1.6,1.6,50.0,0.0
7.7,16.0,2.394120000000001,0.30000000000000004,1.6,1.6,50.0,0.0
7.71,16.0,2.4641230000000007,0.30000000000000004,1.6,1.6,50.0,0.0
7.72,16.0,2.5341270000000016,0.30000000000000004,1.6,1.6,50.0,0.0
7.73,16.0,2.6041300000000014,0.30000000000000004,1.6,1.6,50.0,0.0
7.74,16.0,2.6741339999999987,0.30000000000000004,1.6,1.6,50.0,0.0
7.75,16.0,2.7441369999999985,0.30000000000000004,1.6,1.6,50.0,0.0
7.76,16.0,2.8141409999999993,0.30000000000000004,1.6,1.6,50.0,0.0
7.77,16.0,2.884143999999999,0.30000000000000004,1.6,1.6,50.0,0.0
7.78,16.0,2.954148,0.30000000000000004,1.6,1.6,50.0,0.0
7.79,16.0,3.024151,0.30000000000000004,1.6,1.6,50.0,0.0
7.8,16.0,3.0941550000000007,0.30000000000000004,1.6,1.6,50.0,0.0
7.81,16.0,3.1641580000000005,0.30000000000000004,1.6,1.6,50.0,0.0
7.82,16.0,3.2341620000000013,0.30000000000000004,1.6,1.6,50.0,0.0
7.83,16.0,3.304165000000001,0.30000000000000004,1.6,1.6,50.0,0.0
7.84,16.0,3.3741689999999984,0.30000000000000004,1.6,1.6,50.0,0.0
7.85,16.0,3.4441719999999982,0.30000000000000004,1.6,1.6,50.0,0.0
7.86,16.0,3.514175999999999,0.30000000000000004,1.6,1.6,50.0,0.0
7.87,16.0,3.584178999999999,0.30000000000000004,1.6,1.6,50.0,0.0
7.88,16.0,3.6541829999999997,0.30000000000000004,1.6,1.6,50.0,0.0
7.89,16.0,3.7241859999999996,0.30000000000000004,1.6,1.6,50.0,0.0
7.9,16.0,3.7941900000000004,0.30000000000000004,1.6,1.6,50.0,0.0
7.91,16.0,3.864193,0.30000000000000004,1.6,1.6,50.0,0.0
7.92,16.0,3.934197000000001,0.30000000000000004,1.6,1.6,50.0,0.0
7.93,16.0,4.004200000000001,0.30000000000000004,1.6,1.6,50.0,0.0
7.94,16.0,4.074204000000002,0.30000000000000004,1.6,1.6,50.0,0.0
7.95,16.0,4.1442070000000015,0.30000000000000004,1.6,1.6,50.0,0.0
7.96,16.0,4.214210999999999,0.30000000000000004,1.6,1.6,50.0,0.0
7.97,16.0,4.284213999999999,0.30000000000000004,1.6,1.6,50.0,0.0
7.98,16.0,4.3542179999999995,0.30000000000000004,1.6,1.6,50.0,0.0
7.99,16.0,4.424220999999999,0.30000000000000004,1.6,1.6,50.0,0.0
8.0,16.0,4.494225,0.30000000000000004,1.6,1.6,50.0,0.0
8.01,16.0,4.564228,0.30000000000000004,1.6,1.6,50.0,0.0
8.02,16.0,4.634232000000001,0.30000000000000004,1.6,1.6,50.0,0.0
8.03,16.0,4.704235000000001,0.30000000000000004,1.6,1.6,50.0,0.0
8.04,16.0,4.7742390000000015,0.30000000000000004,1.6,1.6,50.0,0.0
8.05,16.0,4.844242000000001,0.30000000000000004,1.6,1.6,50.0,0.0
8.06,16.0,4.914245999999999,0.30000000000000004,1.6,1.6,50.0,0.0
8.07,16.0,4.984248999999998,0.30000000000000004,1.6,1.6,50.0,0.0
8.08,16.0,5.054252999999999,0.30000000000000004,1.6,1.6,50.0,0.0
8.09,16.0,5.124255999999999,0.30000000000000004,1.6,1.6,50.0,0.0
8.1,16.0,5.19426,0.30000000000000004,1.6,1.6,50.0,0.0
8.11,16.0,5.264263,0.30000000000000004,1.6,1.6,50.0,0.0
8.12,16.0,5.3342670000000005,0.30000000000000004,1.6,1.6,50.0,0.0
8.13,16.0,5.40427,0.30000000000000004,1.6,1.6,50.0,0.0
8.14,16.0,5.474274000000001,0.30000000000000004,1.6,1.6,50.0,0.0
8.15,16.0,5.544277000000001,0.30000000000000004,1.6,1.6,50.0,0.0
8.16,16.0,5.614280999999998,0.30000000000000004,1.6,1.6,50.0,0.0
8.17,16.0,5.684284000000002,0.30000000000000004,1.6,1.6,50.0,0.0
8.18,16.0,5.754287999999999,0.30000000000000004,1.6,1.6,50.0,0.0
8.19,16.0,5.824290999999999,0.30000000000000004,1.6,1.6,50.0,0.0
8.2,16.0,5.894295,0.30000000000000004,1.6,1.6,50.0,0.0
8.21,16.0,5.964297999999999,0.30000000000000004,1.6,1.6,50.0,0.0
8.22,16.0,6.034302,0.30000000000000004,1.6,1.6,50.0,0.0
8.23,16.0,6.104305,0.30000000000000004,1.6,1.6,50.0,0.0
8.24,16.0,6.174309000000001,0.30000000000000004,1.6,1.6,50.0,0.0
