t,x,y,z,w,w_pred,v,q
7.4,-30.0,-29.705985,0.8,1.6,1.6,100.0,0.0
7.41,-30.0,-29.635982,0.8,1.6,1.6,100.0,0.0
7.42,-30.0,-29.565978,0.8,1.6,1.6,100.0,0.0
7.43,-30.0,-29.495975,0.8,1.6,1.6,100.0,0.0
7.44,-30.0,-29.425971,0.8,1.6,1.6,100.0,0.0
7.45,-30.0,-29.355968,0.8,1.6,1.6,100.0,0.0
7.46,-30.0,-29.285964,0.8,1.6,1.6,100.0,0.0
7.47,-30.0,-29.215961,0.8,1.6,1.6,100.0,0.0
7.48,-30.0,-29.145957,0.8,1.6,1.6,100.0,0.0
7.49,-30.0,-29.075954,0.8,1.6,1.6,100.0,0.0
7.5,-30.0,-29.00595,0.8,1.6,1.6,100.0,0.0
7.51,-30.0,-28.935947,0.8,1.6,1.6,100.0,0.0
7.52,-30.0,-28.865943,0.8,1.6,1.6,100.0,0.0
7.53,-30.0,-28.79594,0.8,1.6,1.6,100.0,0.0
7.54,-30.0,-28.725936,0.8,1.6,1.6,100.0,0.0
7.55,-30.0,-28.655933,0.8,1.6,1.6,100.0,0.0
7.56,-30.0,-28.585929,0.8,1.6,1.6,50.0,0.0
7.57,-30.0,-28.515926,0.8,1.6,1.6,50.0,0.0
7.58,-30.0,-28.445922,0.8,1.6,1.6,50.0,0.0
7.59,-30.0,-28.375919,0.8,1.6,1.6,50.0,0.0
7.6,-30.0,-28.305915,0.8,1.6,1.6,50.0,0.0
7.61,-30.0,-28.235912,0.8,1.6,1.6,50.0,0.0
7.62,-30.0,-28.165908,0.8,1.6,1.6,50.0,0.0
7.63,-30.0,-28.095905,0.8,1.6,1.6,50.0,0.0
7.64,-30.0,-28.025901,0.8,1.6,1.6,50.0,0.0
7.65,-30.0,-27.955898,0.8,1.6,1.6,50.0,0.0
7.66,-30.0,-27.885894,0.8,1.6,1.6,50.0,0.0
7.67,-30.0,-27.815891,0.8,1.6,1.6,50.0,0.0
7.68,-30.0,-27.745887,0.8,1.6,1.6,50.0,0.0
7.69,-30.0,-27.675884,0.8,1.6,1.6,50.0,0.0
7.7,-30.0,-27.60588,0.8,1.6,1.6,50.0,0.0
7.71,-30.0,-27.535877,0.8,1.6,1.6,50.0,0.0
7.72,-30.0,-27.465873,0.8,1.6,1.6,50.0,0.0
7.73,-30.0,-27.39587,0.8,1.6,1.6,50.0,0.0
7.74,-30.0,-27.325866,0.8,1.6,1.6,50.0,0.0
7.75,-30.0,-27.255863,0.8,1.6,1.6,50.0,0.0
7.76,-30.0,-27.185859,0.8,1.6,1.6,50.0,0.0
7.77,-30.0,-27.115856,0.8,1.6,1.6,50.0,0.0
7.78,-30.0,-27.045852,0.8,1.6,1.6,50.0,0.0
7.79,-30.0,-26.975849,0.8,1.6,1.6,50.0,0.0
7.8,-30.0,-26.905845,0.8,1.6,1.6,50.0,0.0
7.81,-30.0,-26.835842,0.8,1.6,1.6,50.0,0.0
7.82,-30.0,-26.765838,0.8,1.6,1.6,50.0,0.0
